model,tau,topk,n_nodes,n_edges_bin,n_components,largest_component,n_cliques_extracted,n_louvain_communities,n_leiden_communities,rand_components
complex,0.75,50,123143,14464,119241,1253,1911,119282,119281,118681
complex,0.7,50,123143,50170,114460,4577,2772,114512,114526,113700
complex,0.65,50,123143,157237,105287,11707,3698,105340,105339,104264
complex,0.6,50,123143,409636,91035,23296,4409,91068,91066,89749
complex,0.55,50,123143,878144,72381,44728,4842,72436,72452,70920
complex,0.5,50,123143,1567865,52323,64837,5448,52386,52387,50817
complex,0.45,50,123143,2388125,33853,83144,5652,33916,33911,32614
