clique_id,size,hard_coherence,soft_coherence
0,2,1.0,1.0
1,2,1.0,0.5
2,2,1.0,1.0
3,2,1.0,1.0
4,2,0.5,0.3333333333333333
5,2,0.5,0.3333333333333333
6,2,0.5,0.3333333333333333
7,2,1.0,0.3333333333333333
8,3,0.6666666666666666,0.5555555555555555
9,3,1.0,0.5555555555555555
10,4,1.0,0.6666666666666666
11,4,1.0,0.75
12,3,1.0,0.38888888888888884
13,2,1.0,0.5
14,2,1.0,0.6666666666666666
15,2,1.0,1.0
16,3,0.6666666666666666,1.0
17,3,0.6666666666666666,1.0
18,2,1.0,1.0
19,2,0.5,1.0
20,2,0.5,0.0
21,2,1.0,0.5
22,2,0.5,0.3333333333333333
23,2,0.5,0.3333333333333333
24,2,0.5,0.3333333333333333
25,2,0.5,0.5
26,2,0.5,0.3333333333333333
27,3,0.6666666666666666,0.611111111111111
28,4,0.75,0.6666666666666666
29,2,0.5,0.6666666666666666
30,2,0.5,1.0
31,2,1.0,0.6666666666666666
32,2,1.0,0.6666666666666666
33,3,0.6666666666666666,1.0
34,2,1.0,0.6666666666666666
35,3,0.6666666666666666,0.7777777777777777
36,3,0.6666666666666666,1.0
37,3,0.6666666666666666,1.0
38,2,0.5,1.0
39,3,1.0,0.7777777777777777
40,2,0.5,1.0
41,3,0.6666666666666666,1.0
42,2,1.0,0.6666666666666666
43,2,1.0,1.0
44,2,0.5,1.0
45,2,1.0,1.0
46,2,1.0,1.0
47,2,1.0,0.6666666666666666
48,2,1.0,1.0
49,3,1.0,1.0
50,2,0.5,0.3333333333333333
51,2,1.0,1.0
52,3,1.0,0.7777777777777777
53,3,1.0,0.7777777777777777
54,2,1.0,1.0
55,2,1.0,0.6666666666666666
56,2,1.0,0.25
57,2,0.5,0.3333333333333333
58,2,1.0,1.0
59,2,1.0,1.0
60,2,1.0,0.6666666666666666
61,2,1.0,0.6666666666666666
62,2,0.5,0.3333333333333333
63,2,0.5,0.5
64,2,1.0,1.0
65,2,1.0,1.0
66,2,1.0,1.0
67,2,1.0,1.0
68,2,0.5,1.0
69,2,1.0,1.0
70,2,0.5,0.6666666666666666
71,2,0.5,0.3333333333333333
72,2,0.5,0.6666666666666666
73,2,1.0,1.0
74,2,1.0,0.6666666666666666
75,2,1.0,0.6666666666666666
76,2,1.0,0.6666666666666666
77,3,0.6666666666666666,0.6666666666666666
78,2,0.5,0.3333333333333333
79,2,1.0,1.0
80,3,1.0,1.0
81,4,1.0,1.0
82,3,1.0,1.0
83,3,1.0,1.0
84,4,1.0,1.0
85,3,1.0,1.0
86,2,0.5,0.6666666666666666
87,2,1.0,1.0
88,2,0.5,0.6666666666666666
89,2,1.0,1.0
90,2,1.0,1.0
91,2,1.0,1.0
92,2,1.0,1.0
93,2,1.0,1.0
94,2,1.0,1.0
95,2,0.5,0.3333333333333333
96,2,0.5,0.3333333333333333
97,2,0.5,0.5
98,2,0.5,0.5
99,3,0.6666666666666666,0.4166666666666667
100,2,1.0,1.0
101,2,1.0,0.3333333333333333
102,3,1.0,0.7777777777777777
103,2,1.0,0.5
104,2,1.0,0.5
105,3,1.0,0.6666666666666666
106,5,1.0,0.7
107,5,1.0,0.5999999999999999
108,3,1.0,0.6666666666666666
109,3,1.0,0.6666666666666666
110,5,1.0,0.7
111,5,1.0,0.6
112,5,1.0,0.6
113,4,1.0,0.75
114,5,1.0,0.6833333333333333
115,2,1.0,1.0
116,4,1.0,0.75
117,4,1.0,0.6666666666666666
118,4,1.0,0.75
119,5,1.0,0.7
120,4,1.0,0.75
121,4,1.0,0.75
122,6,1.0,0.7
123,6,1.0,0.6222222222222221
124,6,1.0,0.7333333333333333
125,6,1.0,0.7333333333333333
126,6,1.0,0.6222222222222221
127,6,1.0,0.7333333333333333
128,6,1.0,0.7
129,6,1.0,0.6444444444444443
130,5,1.0,0.7
131,5,1.0,0.6833333333333333
132,5,1.0,0.6333333333333333
133,4,1.0,0.6666666666666666
134,3,1.0,0.6666666666666666
135,6,1.0,0.7
136,3,1.0,1.0
137,3,1.0,0.7777777777777777
138,3,1.0,0.6666666666666666
139,5,1.0,0.6
140,5,1.0,0.7
141,4,1.0,0.6666666666666666
142,5,1.0,0.8
143,3,1.0,1.0
144,3,1.0,0.49999999999999994
145,3,1.0,0.7777777777777777
146,2,1.0,1.0
147,6,1.0,0.6222222222222221
148,6,1.0,0.6444444444444444
149,6,1.0,0.6777777777777776
150,5,1.0,0.6833333333333333
151,4,1.0,0.7777777777777777
152,4,1.0,0.8333333333333334
153,4,1.0,0.5555555555555555
154,2,1.0,0.5
155,5,1.0,0.7
156,5,1.0,0.7
157,5,1.0,0.6
158,5,1.0,0.6
159,5,1.0,0.6833333333333333
160,3,1.0,0.7777777777777777
161,5,1.0,0.6
162,5,1.0,0.6
163,5,1.0,0.6833333333333333
164,4,1.0,1.0
165,2,1.0,1.0
166,3,1.0,0.7777777777777777
167,4,1.0,0.611111111111111
168,3,1.0,1.0
169,4,1.0,0.8333333333333334
170,4,1.0,0.7777777777777777
171,2,1.0,0.5
172,2,1.0,0.3333333333333333
173,2,1.0,1.0
174,3,1.0,0.6666666666666666
175,3,1.0,1.0
176,2,1.0,1.0
177,4,1.0,0.75
178,2,1.0,1.0
179,2,1.0,0.5
180,2,1.0,0.6666666666666666
181,2,1.0,0.5
182,3,1.0,0.6666666666666666
183,2,1.0,0.5
184,3,1.0,0.6666666666666666
185,2,1.0,1.0
186,2,1.0,0.5
187,2,1.0,1.0
188,4,1.0,0.7777777777777777
189,2,1.0,0.6666666666666666
190,2,1.0,1.0
191,2,1.0,0.5
192,2,1.0,1.0
193,2,1.0,1.0
194,2,1.0,1.0
195,3,1.0,0.6666666666666666
196,2,1.0,1.0
197,2,1.0,0.5
198,2,1.0,1.0
199,2,1.0,1.0
200,2,1.0,1.0
201,3,1.0,1.0
202,3,1.0,0.7777777777777777
203,2,1.0,1.0
204,3,1.0,0.5555555555555555
205,3,1.0,0.5
206,2,1.0,1.0
207,2,1.0,1.0
208,2,1.0,0.6666666666666666
209,3,1.0,0.7777777777777777
210,2,0.5,0.3333333333333333
211,2,1.0,1.0
212,3,0.6666666666666666,0.49999999999999994
213,4,1.0,1.0
214,3,0.6666666666666666,1.0
215,2,1.0,0.5
216,2,1.0,1.0
