n_total_cliques,n_analyzed,avg_coherence,median_coherence,perfect_ratio,max_clique_size,tau,model
1911,1911,0.9740762503332916,1.0,0.9079016221873365,17,0.75,complex
2772,2772,0.9729755033326463,1.0,0.9408369408369408,26,0.7,complex
3698,3698,0.9642537334668215,1.0,0.91914548404543,21,0.65,complex
4409,4409,0.9502150019784404,1.0,0.8906781583125425,29,0.6,complex
4842,4842,0.9248265812392205,1.0,0.8252788104089219,25,0.55,complex
5448,5448,0.8758619668999625,1.0,0.677496328928047,28,0.5,complex
5652,5652,0.8129952329262307,0.8571428571428571,0.47629157820240625,16,0.45,complex
