clique_id,size,hard_coherence,soft_coherence
0,2,1.0,0.5
1,2,1.0,1.0
2,2,0.5,0.3333333333333333
3,2,0.5,0.3333333333333333
4,2,1.0,1.0
5,3,1.0,1.0
6,3,1.0,1.0
7,2,0.5,0.3333333333333333
8,2,0.5,0.3333333333333333
9,2,0.5,0.3333333333333333
10,2,0.5,0.3333333333333333
11,2,0.5,0.3333333333333333
12,3,1.0,1.0
13,2,1.0,1.0
14,2,0.5,1.0
15,2,1.0,1.0
16,2,1.0,0.6666666666666666
17,2,1.0,0.6666666666666666
18,2,0.5,0.5
19,2,1.0,1.0
20,3,1.0,1.0
21,2,0.5,0.5
22,2,1.0,1.0
23,2,0.5,0.5
24,2,1.0,1.0
25,5,0.8,0.8
26,5,1.0,0.8
27,3,1.0,1.0
28,6,1.0,1.0
29,6,1.0,1.0
30,9,1.0,1.0
31,8,1.0,1.0
32,9,1.0,1.0
33,10,1.0,1.0
34,9,1.0,1.0
35,8,1.0,1.0
36,5,1.0,1.0
37,5,1.0,1.0
38,7,1.0,1.0
39,5,0.8,0.8
40,7,1.0,1.0
41,7,1.0,1.0
42,2,1.0,1.0
43,2,1.0,1.0
44,2,1.0,1.0
45,3,1.0,1.0
46,3,1.0,1.0
47,2,1.0,1.0
48,2,1.0,1.0
49,2,1.0,1.0
50,2,1.0,1.0
51,2,1.0,1.0
52,2,1.0,1.0
53,3,1.0,1.0
54,5,1.0,1.0
55,3,1.0,1.0
56,2,1.0,1.0
57,2,1.0,1.0
58,2,1.0,1.0
59,2,1.0,1.0
60,2,1.0,1.0
61,3,1.0,1.0
62,4,1.0,1.0
63,3,1.0,1.0
64,2,1.0,1.0
65,3,1.0,1.0
66,2,1.0,1.0
67,4,1.0,1.0
68,5,1.0,1.0
69,3,1.0,1.0
70,4,1.0,1.0
71,2,1.0,1.0
72,2,1.0,1.0
73,3,1.0,0.6666666666666666
74,2,1.0,1.0
75,3,1.0,1.0
76,3,1.0,1.0
77,3,1.0,1.0
78,2,1.0,1.0
79,2,1.0,1.0
80,2,1.0,0.75
81,5,1.0,1.0
82,5,1.0,0.8
83,5,1.0,1.0
84,4,1.0,1.0
85,7,1.0,1.0
86,6,1.0,1.0
87,9,1.0,1.0
88,10,1.0,1.0
89,10,1.0,1.0
90,8,1.0,1.0
91,8,1.0,1.0
92,5,1.0,0.8
93,2,1.0,0.5
94,6,1.0,1.0
95,2,1.0,1.0
96,2,1.0,1.0
97,6,1.0,1.0
98,2,1.0,0.5
99,7,1.0,1.0
100,3,1.0,1.0
101,5,1.0,1.0
102,5,1.0,1.0
103,5,1.0,1.0
104,2,1.0,1.0
105,2,1.0,1.0
106,2,1.0,1.0
107,4,1.0,1.0
108,2,1.0,1.0
109,2,1.0,1.0
110,5,1.0,1.0
111,6,1.0,1.0
112,7,1.0,1.0
113,8,1.0,1.0
114,6,1.0,1.0
115,5,1.0,1.0
116,6,1.0,1.0
117,2,1.0,1.0
118,3,1.0,1.0
119,2,1.0,1.0
120,2,1.0,0.5
121,6,1.0,0.8333333333333334
122,3,1.0,1.0
123,3,1.0,1.0
124,2,1.0,1.0
125,4,1.0,1.0
126,2,1.0,1.0
127,2,1.0,1.0
128,4,1.0,0.75
129,2,1.0,0.5
130,4,1.0,0.75
131,4,1.0,0.75
132,5,1.0,0.8
133,5,1.0,0.8
134,7,1.0,0.7619047619047619
135,6,1.0,0.8333333333333334
136,2,1.0,0.5
137,2,1.0,0.5
138,2,1.0,0.3333333333333333
139,2,1.0,0.5
140,6,1.0,0.8333333333333334
141,2,1.0,0.5
142,2,1.0,0.6666666666666666
143,4,1.0,1.0
144,2,1.0,1.0
145,3,1.0,1.0
146,2,1.0,1.0
147,2,1.0,0.5
148,2,1.0,1.0
149,2,1.0,1.0
150,3,1.0,1.0
151,2,1.0,1.0
152,3,1.0,0.6666666666666666
153,3,1.0,1.0
154,4,1.0,1.0
155,3,1.0,1.0
156,3,1.0,1.0
157,4,1.0,1.0
158,4,1.0,1.0
159,5,1.0,1.0
160,2,1.0,1.0
161,2,1.0,1.0
162,6,1.0,1.0
163,2,1.0,1.0
164,6,1.0,1.0
165,6,1.0,1.0
166,6,1.0,1.0
167,7,1.0,1.0
168,7,1.0,1.0
169,7,1.0,1.0
170,5,1.0,1.0
171,3,1.0,1.0
172,6,1.0,1.0
173,3,1.0,1.0
174,2,1.0,1.0
175,5,1.0,1.0
176,10,1.0,1.0
177,10,1.0,1.0
178,10,1.0,1.0
179,9,1.0,1.0
180,8,1.0,1.0
181,9,1.0,1.0
182,9,1.0,1.0
183,8,1.0,1.0
184,5,1.0,1.0
185,4,1.0,1.0
186,2,1.0,1.0
187,2,0.5,0.0
188,2,0.5,0.0
189,2,0.5,0.0
190,2,1.0,1.0
191,4,1.0,1.0
192,4,1.0,1.0
193,3,1.0,1.0
194,3,1.0,1.0
195,2,0.5,1.0
196,2,1.0,1.0
197,2,1.0,1.0
198,3,0.6666666666666666,0.7777777777777777
199,2,1.0,1.0
200,2,0.5,0.6666666666666666
201,2,1.0,0.75
202,2,0.5,0.6666666666666666
203,2,0.5,0.75
204,2,1.0,1.0
205,2,1.0,1.0
206,4,1.0,1.0
207,2,1.0,1.0
208,2,1.0,1.0
209,3,0.6666666666666666,0.6666666666666666
210,2,0.5,0.5
211,3,1.0,0.7777777777777777
212,3,1.0,0.7777777777777777
213,2,1.0,1.0
214,2,1.0,1.0
215,2,0.5,0.5
216,3,1.0,0.7777777777777777
217,2,1.0,1.0
218,2,1.0,1.0
219,3,1.0,0.7777777777777777
220,3,1.0,0.7777777777777777
221,2,1.0,1.0
222,2,1.0,0.6666666666666666
223,2,1.0,1.0
224,3,1.0,1.0
225,2,1.0,1.0
226,3,1.0,0.7777777777777777
227,2,1.0,0.6666666666666666
228,2,1.0,0.6666666666666666
229,2,1.0,0.6666666666666666
230,2,1.0,0.5
231,2,1.0,0.6666666666666666
232,2,1.0,0.6666666666666666
233,2,1.0,0.6666666666666666
234,2,1.0,1.0
235,2,1.0,1.0
236,2,1.0,0.6666666666666666
237,2,1.0,1.0
238,2,0.5,0.75
239,2,1.0,0.6666666666666666
240,2,0.5,0.3333333333333333
241,2,0.5,0.3333333333333333
242,2,0.5,0.5
243,2,1.0,1.0
244,2,1.0,1.0
245,2,1.0,1.0
246,2,1.0,1.0
247,2,1.0,1.0
248,2,1.0,0.6666666666666666
249,2,0.5,1.0
250,2,1.0,1.0
251,3,1.0,1.0
252,2,1.0,1.0
253,3,1.0,1.0
254,3,1.0,1.0
255,5,1.0,1.0
256,5,1.0,1.0
257,3,1.0,1.0
258,2,1.0,1.0
259,2,1.0,1.0
260,2,1.0,1.0
261,2,1.0,0.5
262,2,1.0,0.5
263,2,1.0,1.0
264,3,0.6666666666666666,0.5
265,2,1.0,1.0
266,4,1.0,1.0
267,7,0.8571428571428571,0.8571428571428571
268,7,0.8571428571428571,0.8571428571428571
269,3,1.0,1.0
270,2,1.0,1.0
271,2,1.0,1.0
272,2,1.0,1.0
273,6,1.0,1.0
274,3,1.0,1.0
275,6,1.0,1.0
276,3,1.0,1.0
277,5,0.8,0.7
278,4,0.75,0.625
279,2,1.0,1.0
280,2,1.0,1.0
281,9,1.0,1.0
282,7,1.0,1.0
283,4,0.75,0.625
284,4,0.75,0.625
285,4,0.75,0.625
286,6,1.0,1.0
287,6,1.0,1.0
288,7,1.0,1.0
289,9,1.0,1.0
290,9,1.0,1.0
291,9,0.8888888888888888,0.8333333333333334
292,7,1.0,1.0
293,3,1.0,1.0
294,5,0.8,0.7
295,5,0.8,0.7
296,4,1.0,1.0
297,3,1.0,1.0
298,2,1.0,1.0
299,5,1.0,1.0
300,2,1.0,1.0
301,7,1.0,0.8571428571428571
302,10,1.0,1.0
303,10,1.0,1.0
304,10,1.0,1.0
305,10,1.0,1.0
306,10,1.0,1.0
307,9,1.0,1.0
308,9,1.0,1.0
309,2,1.0,1.0
310,3,1.0,1.0
311,7,1.0,1.0
312,7,1.0,1.0
313,12,1.0,0.9166666666666666
314,10,0.9,0.8222222222222222
315,12,1.0,0.9166666666666666
316,12,1.0,0.9166666666666666
317,12,1.0,0.9166666666666666
318,12,1.0,0.9166666666666666
319,13,0.9230769230769231,0.8589743589743589
320,14,0.9285714285714286,0.8681318681318682
321,14,1.0,0.9285714285714286
322,14,1.0,0.9285714285714286
323,13,1.0,1.0
324,11,1.0,1.0
325,11,0.9090909090909091,0.9090909090909091
326,12,1.0,1.0
327,12,1.0,1.0
328,12,1.0,1.0
329,12,1.0,1.0
330,12,1.0,0.9166666666666666
331,13,1.0,0.9230769230769231
332,12,1.0,0.9166666666666666
333,11,1.0,0.9090909090909091
334,11,1.0,0.9090909090909091
335,11,0.9090909090909091,0.8363636363636363
336,10,1.0,1.0
337,10,1.0,1.0
338,9,1.0,1.0
339,12,1.0,0.9166666666666666
340,10,1.0,1.0
341,10,0.9,0.8222222222222222
342,11,1.0,1.0
343,11,1.0,1.0
344,11,1.0,1.0
345,3,1.0,1.0
346,4,1.0,1.0
347,3,0.6666666666666666,0.5
348,4,1.0,1.0
349,2,1.0,1.0
350,2,1.0,0.5
351,2,1.0,1.0
352,4,1.0,1.0
353,2,1.0,1.0
354,9,1.0,0.8888888888888888
355,2,1.0,0.5
356,3,1.0,1.0
357,3,1.0,1.0
358,2,1.0,1.0
359,7,1.0,1.0
360,7,1.0,1.0
361,2,1.0,1.0
362,3,1.0,1.0
363,3,1.0,1.0
364,3,1.0,1.0
365,2,1.0,1.0
366,2,1.0,1.0
367,2,1.0,1.0
368,3,1.0,1.0
369,3,1.0,1.0
370,3,1.0,1.0
371,3,1.0,1.0
372,4,1.0,1.0
