community_id,size
0,349
1,979
2,3438
3,873
4,1893
5,1743
6,3653
7,292
8,1366
9,3803
10,175
11,246
12,1005
13,1402
14,1149
15,514
16,1626
17,1685
18,1871
19,409
20,1394
21,796
22,3536
23,467
24,172
25,636
26,265
27,2982
28,334
29,243
33,230
32,648
30,383
31,2
