model,tau,topk,n_nodes,n_edges_bin,n_components,largest_component,n_cliques_extracted,n_louvain_communities,n_leiden_communities,rand_components
transe,0.75,50,40559,177,40382,3,177,40382,40382,40382
transe,0.7,50,40559,853,39713,7,839,39713,39713,39706
transe,0.65,50,40559,2740,37864,11,2663,37864,37864,37819
transe,0.6,50,40559,6891,33916,56,6533,33916,33916,33668
transe,0.55,50,40559,14039,27505,244,12365,27507,27506,26568
transe,0.5,50,40559,25458,18342,11698,10242,18422,18423,17100
transe,0.45,50,40559,44891,7625,29921,2914,7738,7735,7165
