model,tau,topk,n_nodes,n_edges_bin,n_components,largest_component,n_cliques_extracted,n_louvain_communities,n_leiden_communities,rand_components
rotate,0.75,50,40559,535,40109,11,403,40109,40109,40025
rotate,0.7,50,40559,1870,39050,20,1351,39050,39050,38700
rotate,0.65,50,40559,6002,36658,172,3230,36662,36662,35366
rotate,0.6,50,40559,15030,34000,412,4860,34017,34018,31853
rotate,0.55,50,40559,39454,28993,768,7868,29001,29001,26238
rotate,0.5,50,40559,124351,19910,6434,13017,19964,19965,16997
rotate,0.45,50,40559,277656,12266,20006,29393,12376,12370,9967
