model,tau,topk,n_nodes,n_edges_bin,n_components,largest_component,n_cliques_extracted,n_louvain_communities,n_leiden_communities,rand_components
complex,0.75,50,14505,12,14498,5,4,14498,14498,14497
complex,0.7,50,14505,21,14495,7,5,14495,14495,14493
complex,0.65,50,14505,32,14490,9,9,14490,14490,14487
complex,0.6,50,14505,57,14472,10,24,14472,14472,14462
complex,0.55,50,14505,151,14409,16,78,14409,14409,14382
complex,0.5,50,14505,431,14249,33,244,14249,14249,14203
complex,0.45,50,14505,1431,13869,68,708,13869,13869,13757
