n_total_cliques,n_analyzed,avg_coherence,median_coherence,perfect_ratio,max_clique_size,tau,model
4,4,0.7916666666666666,0.8333333333333333,0.5,4,0.75,complex
5,5,0.8,1.0,0.6,5,0.7,complex
9,9,0.8333333333333334,1.0,0.6666666666666666,6,0.65,complex
24,24,0.8541666666666666,1.0,0.7083333333333334,6,0.6,complex
78,78,0.8514957264957264,1.0,0.6538461538461539,7,0.55,complex
244,244,0.8664617486338797,1.0,0.6967213114754098,8,0.5,complex
708,708,0.8440773249035961,1.0,0.6200564971751412,9,0.45,complex
