clique_id,size,hard_coherence,soft_coherence
0,2,1.0,1.0
1,2,1.0,0.5
2,2,1.0,0.5
3,2,1.0,1.0
4,2,1.0,0.5
5,4,1.0,0.75
6,4,1.0,1.0
7,4,1.0,0.75
8,4,1.0,1.0
9,3,1.0,1.0
10,2,1.0,1.0
11,3,1.0,1.0
12,2,1.0,1.0
13,4,1.0,1.0
14,2,1.0,1.0
15,2,1.0,1.0
16,3,1.0,0.6666666666666666
17,4,1.0,1.0
18,2,1.0,1.0
19,3,1.0,0.6666666666666666
20,2,1.0,1.0
21,2,1.0,0.5
22,3,1.0,0.6666666666666666
23,3,1.0,0.6666666666666666
24,2,1.0,1.0
25,2,1.0,1.0
26,5,1.0,0.7
27,5,1.0,0.7
28,5,1.0,0.7
29,2,1.0,1.0
30,2,1.0,1.0
31,2,1.0,0.5
32,2,1.0,1.0
33,3,1.0,1.0
34,5,1.0,0.8
35,2,1.0,1.0
36,2,1.0,1.0
37,3,1.0,0.6666666666666666
38,3,1.0,1.0
39,3,1.0,0.5
40,4,1.0,0.5
41,6,1.0,0.6222222222222221
42,5,1.0,0.6
43,7,1.0,0.6825396825396824
44,5,1.0,0.7333333333333333
45,5,1.0,0.7333333333333333
46,8,1.0,0.6785714285714286
47,6,1.0,0.6666666666666666
48,4,1.0,0.611111111111111
49,3,1.0,0.5555555555555555
50,2,1.0,0.3333333333333333
51,2,1.0,0.6666666666666666
52,5,1.0,0.6
53,5,1.0,0.7333333333333333
54,5,1.0,0.7333333333333333
55,5,1.0,0.6166666666666666
56,5,1.0,0.7333333333333333
57,5,1.0,0.6166666666666666
58,5,1.0,0.6166666666666666
59,8,1.0,0.6547619047619048
60,7,1.0,0.6825396825396824
61,7,1.0,0.7063492063492063
62,8,1.0,0.6785714285714286
63,8,1.0,0.738095238095238
64,8,1.0,0.738095238095238
65,8,1.0,0.6785714285714286
66,7,1.0,0.7063492063492063
67,7,1.0,0.6507936507936508
68,8,1.0,0.6547619047619048
69,8,1.0,0.738095238095238
70,7,1.0,0.6507936507936508
71,8,1.0,0.738095238095238
72,6,1.0,0.5777777777777777
73,8,1.0,0.738095238095238
74,8,1.0,0.738095238095238
75,8,1.0,0.6785714285714286
76,8,1.0,0.738095238095238
77,7,1.0,0.7063492063492063
78,7,1.0,0.7063492063492063
79,8,1.0,0.6785714285714286
80,8,1.0,0.738095238095238
81,8,1.0,0.6547619047619048
82,7,1.0,0.6507936507936508
83,5,1.0,0.6166666666666666
84,7,1.0,0.7063492063492063
85,7,1.0,0.7063492063492063
86,7,1.0,0.7063492063492063
87,7,1.0,0.6507936507936508
88,7,1.0,0.7063492063492063
89,7,1.0,0.6428571428571429
90,5,1.0,0.7333333333333333
91,6,1.0,0.6666666666666666
92,6,1.0,0.6666666666666666
93,8,1.0,0.6785714285714286
94,6,1.0,0.6444444444444444
95,8,1.0,0.6785714285714286
96,7,1.0,0.6507936507936508
97,7,1.0,0.6825396825396824
98,8,1.0,0.6547619047619048
99,7,1.0,0.6428571428571429
100,7,1.0,0.7698412698412698
101,7,1.0,0.9047619047619048
102,7,1.0,0.6825396825396824
103,7,1.0,0.7698412698412698
104,7,1.0,0.6825396825396824
105,5,1.0,0.6
106,4,1.0,0.6666666666666666
107,3,1.0,0.5
108,6,1.0,0.6666666666666666
109,3,1.0,0.6666666666666666
110,2,1.0,1.0
111,2,1.0,0.5
112,2,1.0,1.0
113,5,1.0,0.7
114,2,1.0,1.0
115,2,1.0,1.0
116,2,1.0,1.0
117,2,1.0,0.3333333333333333
118,2,1.0,0.3333333333333333
119,2,1.0,0.5
120,2,1.0,0.5
121,2,1.0,0.5
122,2,1.0,0.3333333333333333
123,2,1.0,0.5
124,3,1.0,0.5555555555555555
125,3,1.0,0.5
126,3,1.0,0.5
127,2,1.0,1.0
128,2,1.0,1.0
129,2,1.0,1.0
130,2,1.0,0.6666666666666666
131,2,1.0,0.6666666666666666
132,2,1.0,1.0
133,3,1.0,1.0
134,3,1.0,1.0
135,2,1.0,1.0
136,3,1.0,1.0
137,3,1.0,1.0
138,3,1.0,1.0
139,2,1.0,1.0
140,4,1.0,0.8333333333333334
141,2,1.0,1.0
142,2,1.0,1.0
143,2,1.0,1.0
144,2,1.0,0.6666666666666666
145,2,1.0,1.0
146,3,1.0,0.7777777777777777
147,2,1.0,0.6666666666666666
148,2,1.0,0.6666666666666666
149,2,1.0,0.6666666666666666
150,2,1.0,1.0
151,2,1.0,1.0
152,2,1.0,1.0
153,2,1.0,1.0
154,2,1.0,0.6666666666666666
155,2,1.0,1.0
156,2,1.0,1.0
157,2,1.0,1.0
158,2,1.0,0.5
159,4,1.0,0.75
160,3,1.0,1.0
161,2,1.0,1.0
162,3,1.0,1.0
163,3,1.0,1.0
164,2,1.0,1.0
165,2,1.0,1.0
166,2,1.0,1.0
167,2,1.0,0.5
168,2,1.0,1.0
169,2,1.0,0.5
170,2,1.0,0.3333333333333333
171,2,1.0,1.0
172,3,1.0,0.6666666666666666
173,3,1.0,0.6666666666666666
174,3,0.6666666666666666,0.6666666666666666
175,5,1.0,1.0
176,6,1.0,1.0
177,6,1.0,1.0
178,6,1.0,1.0
179,9,1.0,0.8888888888888888
180,9,0.8888888888888888,0.787037037037037
181,8,1.0,1.0
182,4,0.75,0.75
183,4,1.0,1.0
184,2,0.5,0.5
185,2,1.0,1.0
186,2,1.0,1.0
187,2,1.0,0.5
188,2,1.0,1.0
189,2,1.0,0.5
190,2,1.0,0.5
191,2,1.0,0.5
192,2,1.0,1.0
193,2,1.0,1.0
194,2,1.0,1.0
195,2,1.0,1.0
196,3,1.0,1.0
197,2,1.0,1.0
198,2,1.0,1.0
199,2,1.0,1.0
200,2,1.0,1.0
201,3,1.0,1.0
202,3,1.0,0.6666666666666666
203,3,1.0,1.0
204,2,1.0,1.0
205,2,1.0,1.0
206,2,1.0,1.0
207,2,1.0,1.0
208,2,1.0,1.0
209,2,1.0,1.0
210,4,1.0,0.7983682983682984
211,4,1.0,0.684052059052059
212,5,1.0,0.7538295038295039
213,5,1.0,0.6512071262071262
214,2,1.0,0.8181818181818182
215,3,1.0,0.8282828282828283
216,4,1.0,0.8177655677655676
217,3,1.0,0.8376068376068376
218,3,1.0,0.6693861693861693
219,2,1.0,0.6363636363636364
