n_total_cliques,n_analyzed,avg_coherence,median_coherence,perfect_ratio,max_clique_size,tau,model
827,827,0.874184609620265,1.0,0.5792019347037485,51,0.75,nodepiece
337,337,0.7859633368991922,0.7619047619047619,0.3916913946587537,51,0.7,nodepiece
145,145,0.7415171389878686,0.75,0.2827586206896552,43,0.65,nodepiece
65,65,0.752459249147032,0.76,0.35384615384615387,26,0.6,nodepiece
63,63,0.7246003874403855,0.7142857142857143,0.30158730158730157,34,0.55,nodepiece
25,25,0.8693519386466942,0.95,0.48,37,0.5,nodepiece
18,18,0.8644380380448492,0.8892857142857142,0.4444444444444444,42,0.45,nodepiece
