community_id,size,labelled_size,purity,n_distinct_synsets
1,3,2,0.5,2
3,3,2,0.5,2
4,3,3,0.6666666666666666,2
5,4,2,1.0,1
6,6,2,1.0,1
7,5,2,0.5,2
8,4,2,0.5,2
10,3,3,0.6666666666666666,2
11,3,2,1.0,1
12,4,2,0.5,2
14,4,2,1.0,1
15,3,2,0.5,2
16,6,2,1.0,1
17,3,3,0.6666666666666666,2
18,3,3,0.6666666666666666,2
19,3,3,0.6666666666666666,2
20,3,3,0.6666666666666666,2
21,4,2,0.5,2
23,8,5,0.4,3
24,7,3,0.3333333333333333,3
25,7,2,1.0,1
26,5,2,0.5,2
27,3,3,0.6666666666666666,2
28,5,2,1.0,1
29,4,2,1.0,1
30,4,2,0.5,2
31,4,2,0.5,2
32,7,2,0.5,2
33,4,2,1.0,1
34,6,3,0.6666666666666666,2
35,4,2,0.5,2
36,3,3,0.6666666666666666,2
37,3,2,1.0,1
38,4,2,0.5,2
40,3,2,1.0,1
41,3,2,1.0,1
42,8,3,0.6666666666666666,2
43,5,3,1.0,1
44,3,2,1.0,1
45,10,5,0.6,3
46,16,7,0.42857142857142855,5
47,12,5,0.4,3
48,13,6,0.8333333333333334,2
49,7,3,1.0,1
51,3,2,1.0,1
52,5,3,0.6666666666666666,2
54,5,3,0.3333333333333333,3
55,5,2,0.5,2
56,5,3,0.3333333333333333,3
59,7,4,0.5,3
64,5,2,1.0,1
66,4,2,0.5,2
67,4,2,1.0,1
68,4,2,0.5,2
69,6,4,0.75,2
70,3,2,1.0,1
72,3,2,1.0,1
74,4,2,1.0,1
75,6,4,0.5,3
76,3,2,1.0,1
77,7,2,1.0,1
78,3,2,0.5,2
80,13,5,0.6,3
81,3,2,1.0,1
82,4,3,0.6666666666666666,2
84,5,3,0.6666666666666666,2
85,3,2,1.0,1
87,3,2,1.0,1
89,3,2,0.5,2
90,6,4,0.5,2
92,3,2,0.5,2
93,5,2,0.5,2
94,3,2,1.0,1
97,7,5,0.4,3
98,4,2,0.5,2
100,5,3,0.3333333333333333,3
101,4,2,0.5,2
103,3,3,1.0,1
104,3,2,1.0,1
105,3,2,1.0,1
106,8,5,0.6,2
107,3,2,1.0,1
108,6,2,1.0,1
109,3,2,1.0,1
110,8,4,0.5,2
112,5,2,0.5,2
113,6,3,1.0,1
114,3,2,1.0,1
115,6,3,0.6666666666666666,2
116,3,2,0.5,2
119,8,4,0.75,2
120,4,2,0.5,2
121,5,2,0.5,2
122,4,2,1.0,1
123,3,2,1.0,1
124,5,2,0.5,2
126,4,2,1.0,1
127,4,2,0.5,2
131,3,2,0.5,2
132,4,3,0.6666666666666666,2
133,4,2,0.5,2
136,8,4,0.5,3
137,4,2,0.5,2
138,6,2,0.5,2
139,8,4,0.25,4
142,9,4,0.5,3
143,6,4,0.5,3
144,5,3,1.0,1
145,3,2,1.0,1
146,6,3,0.3333333333333333,3
147,4,2,1.0,1
149,8,5,0.6,2
150,3,2,0.5,2
151,8,6,0.3333333333333333,4
152,3,3,1.0,1
153,6,3,0.3333333333333333,3
155,4,2,1.0,1
156,6,3,0.3333333333333333,3
157,5,2,0.5,2
158,3,2,1.0,1
160,9,7,0.2857142857142857,5
161,5,2,0.5,2
162,4,2,1.0,1
163,6,3,0.6666666666666666,2
164,7,4,0.25,4
167,3,2,1.0,1
169,3,3,1.0,1
170,4,2,1.0,1
171,5,2,1.0,1
172,4,2,0.5,2
173,5,2,1.0,1
174,9,5,0.6,3
