community_id,size,labelled_size,purity,n_distinct_synsets
0,5,2,1.0,1
1,4,2,1.0,1
2,5,3,0.3333333333333333,3
3,6,3,0.3333333333333333,3
5,4,2,1.0,1
6,4,2,0.5,2
7,4,2,1.0,1
8,5,3,0.6666666666666666,2
10,5,3,0.3333333333333333,3
11,4,2,1.0,1
12,4,2,1.0,1
14,7,4,0.75,2
16,6,3,0.3333333333333333,3
17,4,2,0.5,2
18,6,3,0.3333333333333333,3
19,4,2,0.5,2
20,6,3,0.3333333333333333,3
21,4,2,0.5,2
22,5,3,0.3333333333333333,3
23,4,2,1.0,1
24,4,2,0.5,2
25,5,2,1.0,1
26,4,2,0.5,2
28,5,3,1.0,1
29,5,3,0.6666666666666666,2
30,5,2,0.5,2
32,5,3,0.3333333333333333,3
33,4,2,0.5,2
34,4,2,0.5,2
35,4,2,0.5,2
36,6,3,0.3333333333333333,3
37,6,4,0.25,4
38,5,2,0.5,2
39,4,3,1.0,1
40,6,4,0.5,3
41,7,3,0.3333333333333333,3
42,7,3,0.3333333333333333,3
43,9,4,0.5,3
44,4,2,1.0,1
45,6,3,0.6666666666666666,2
47,4,2,0.5,2
48,4,2,0.5,2
49,8,4,0.5,3
50,8,3,0.3333333333333333,3
51,4,2,1.0,1
52,4,2,0.5,2
53,6,4,0.5,2
55,5,3,0.6666666666666666,2
56,10,3,0.6666666666666666,2
57,4,3,0.3333333333333333,3
58,4,2,0.5,2
59,6,3,0.3333333333333333,3
60,5,3,0.6666666666666666,2
61,4,2,1.0,1
62,7,3,0.3333333333333333,3
63,4,2,0.5,2
65,5,2,0.5,2
66,4,2,0.5,2
67,4,2,0.5,2
69,6,3,0.3333333333333333,3
70,4,2,0.5,2
71,4,3,0.6666666666666666,2
72,4,2,0.5,2
74,4,2,0.5,2
75,7,2,1.0,1
76,4,2,0.5,2
77,4,2,0.5,2
78,4,3,1.0,1
79,4,2,1.0,1
80,4,2,1.0,1
81,6,3,0.3333333333333333,3
82,6,2,1.0,1
84,4,3,1.0,1
85,10,8,0.625,3
87,4,3,0.6666666666666666,2
88,5,2,1.0,1
89,5,2,1.0,1
90,7,4,1.0,1
91,5,3,0.3333333333333333,3
93,5,3,0.6666666666666666,2
94,5,3,0.6666666666666666,2
95,4,2,1.0,1
96,4,2,0.5,2
97,6,3,0.6666666666666666,2
98,6,4,0.25,4
99,7,2,0.5,2
103,5,2,0.5,2
104,9,4,0.5,3
105,5,3,1.0,1
106,4,2,0.5,2
107,4,2,0.5,2
108,4,2,0.5,2
109,4,2,0.5,2
110,5,3,0.6666666666666666,2
111,4,4,1.0,1
112,4,4,1.0,1
113,6,3,1.0,1
114,6,3,0.3333333333333333,3
115,4,2,0.5,2
116,4,2,1.0,1
118,5,2,1.0,1
119,4,2,0.5,2
120,4,3,1.0,1
121,4,2,0.5,2
124,4,3,0.6666666666666666,2
125,4,2,0.5,2
126,4,2,1.0,1
127,5,3,0.6666666666666666,2
128,4,2,1.0,1
130,4,3,1.0,1
131,5,2,0.5,2
132,5,3,0.6666666666666666,2
133,5,2,0.5,2
134,4,2,1.0,1
135,5,2,1.0,1
136,4,2,0.5,2
137,8,4,0.75,2
138,4,2,1.0,1
139,4,2,0.5,2
140,4,2,0.5,2
142,6,2,0.5,2
143,4,2,0.5,2
144,5,3,0.6666666666666666,2
145,4,2,0.5,2
146,5,3,0.6666666666666666,2
147,5,2,0.5,2
148,4,3,1.0,1
149,4,2,0.5,2
150,4,2,1.0,1
152,4,2,1.0,1
153,4,2,1.0,1
154,5,3,0.3333333333333333,3
155,5,2,0.5,2
156,4,3,0.3333333333333333,3
157,5,3,1.0,1
158,4,4,0.5,3
159,6,3,1.0,1
160,6,3,0.6666666666666666,2
161,5,2,0.5,2
162,5,3,0.3333333333333333,3
163,9,5,1.0,1
164,4,2,0.5,2
167,5,3,1.0,1
171,4,3,0.3333333333333333,3
172,4,2,1.0,1
173,4,2,0.5,2
174,4,2,0.5,2
175,4,2,0.5,2
176,6,4,0.5,3
178,5,2,0.5,2
179,5,3,0.3333333333333333,3
180,4,2,0.5,2
181,4,2,1.0,1
182,4,2,0.5,2
183,4,2,0.5,2
184,4,2,1.0,1
186,5,5,0.8,2
187,4,2,0.5,2
188,4,4,1.0,1
189,4,2,0.5,2
190,4,2,1.0,1
192,4,4,1.0,1
193,4,4,1.0,1
194,4,4,1.0,1
195,4,4,1.0,1
196,4,2,1.0,1
197,4,2,0.5,2
198,5,3,0.3333333333333333,3
199,4,2,0.5,2
201,4,4,1.0,1
202,5,3,1.0,1
203,7,5,0.4,4
204,7,7,1.0,1
205,4,2,0.5,2
206,9,9,1.0,1
207,4,3,0.3333333333333333,3
208,4,3,0.6666666666666666,2
209,4,2,0.5,2
210,4,2,1.0,1
211,5,2,1.0,1
212,5,5,1.0,1
213,4,3,0.6666666666666666,2
214,4,2,1.0,1
215,4,4,1.0,1
216,4,2,1.0,1
217,4,2,0.5,2
