community_id,size,labelled_size,purity,n_distinct_synsets
0,5,3,0.6666666666666666,2
1,5,3,0.3333333333333333,3
2,5,2,0.5,2
3,5,2,0.5,2
4,5,2,0.5,2
5,10,8,0.625,3
7,8,4,0.5,3
8,5,3,1.0,1
9,5,2,0.5,2
10,6,3,0.6666666666666666,2
11,6,3,0.6666666666666666,2
12,5,2,1.0,1
14,5,5,0.8,2
15,6,2,1.0,1
16,5,5,1.0,1
17,8,8,1.0,1
18,7,7,1.0,1
19,5,5,1.0,1
20,7,7,0.7142857142857143,2
21,5,5,0.8,2
22,5,5,1.0,1
23,6,6,1.0,1
24,8,8,1.0,1
25,6,6,1.0,1
26,6,6,1.0,1
27,5,5,1.0,1
28,5,5,1.0,1
29,5,5,1.0,1
30,6,6,1.0,1
